word,phonetic,translation
absorbable,әb'sɒ:bәbl,"a. 可吸收的, 容易被吸收的\n[醫] 可吸收的"
absorbance,әb'sɒ:bәns,n. 吸光率\n[化] 吸光度; 吸收度
absorbed,әb'sɒ:bd,"a. 全神貫注的, 一心一意的\n[機] 被吸收的"
absorbency,әb'sɒ:bәnsi,"n. 吸收性, 吸光度\n[計] 吸墨性"
absorbent,әb'sɒ:bәnt,a. 能吸收的\nn. 吸收劑
absorber,әb'sɔ:bә,n. 吸收器\n[化] 吸收劑; 消振器; 緩衝器; 吸收器; 吸收體
absorbing,әb'sɒ:biŋ,"a. 吸引人的, 非常有趣的\n[機] 吸收的"
absorption,әb'sɒ:pʃәn,"n. 吸收, 專心, 全神貫注\n[化] 吸收; 吸收作用"
absorptive,әb'sɒ:ptiv,"a. 吸收性的, 有吸收力的\n[醫] 吸收的"
abstain,әb'stein,"vi. 自製, 戒絕, 棄權, 迴避"
abstainer,әb'steinә,"n. 節制者, 棄權者"
abstemious,æb'sti:mjәs,"a. 有節制的, 節約的"
abstention,әb'stenʃәn,"n. 戒絕, 迴避, 棄權"
abstinence,'æbstinәns,"n. 節制, 禁慾, 戒酒\n[醫] 節制, 禁戒(如禁酒,節慾)"
abstinent,'æbstinәnt,"a. 有節制的, 禁慾的\nn. 禁慾者"
abstract,'æbstrækt,"a. 抽象的, 深奧的\nn. 摘要, 抽象概念\nvt. 摘要, 提煉, 使抽象化\n[計] 摘錄; 摘要; 抽象"
abstracted,æb'stræktid,"a. 心不在焉的, 出神的, 分離出的"
abstractedly,,"adv. 心不在焉, 抽出了, 分心, 出神"
abstraction,æb'strækʃәn,"n. 抽象化, 心不在焉, 空想, 提煉, 抽象派作品\n[化] 提取; 抽取; 奪取; 奪取反應; 除去"
abstractionist,æb'strækʃәnist,n. 抽象派藝術家
abstractly,æb'stræktli,adv. 抽象地；理論上地
abstractness,,n. 抽象性
abstruse,æb'stru:s,"a. 難解的, 深奧的"
absurd,әb'sә:d,"a. 荒謬的, 不合理的, 可笑的\nn. 荒誕"
absurdity,әb'sә:diti,"n. 荒謬, 悖理, 荒謬的言行"
absurdly,әb'sә:dli,"adv. 荒謬地, 荒唐地, 愚蠢地"
abundance,ә'bʌndәns,"n. 豐富, 充足, 大量\n[經] 豐富, 充裕"
abundant,ә'bʌndәnt,"a. 豐富的, 充分的, 大量的"
abundantly,ә'bʌndәntli,"adv. 大量地, 豐富地"
abuse,ә'bju:s.ә'bju:z,"n. 濫用, 虐待, 惡習, 辱罵\nvt. 濫用, 辱罵, 虐待"
abused,,"n. 受虐；濫用, 惡習"
abuser,,n. 濫用者
abusive,ә'bju:siv,"a. 惡言謾罵的, 被濫用的, 腐敗的, 虐待的"
abusively,,"adv. 辱罵性, 陋習性, 被濫用, 濫用, 罵人"
abusiveness,,n. 濫用；咒罵
abut,ә'bʌt,"v. 鄰接, 毗鄰"
abutment,ә'bʌtmәnt,"n. 鄰接, 接界, 橋台\n[醫] 橋基, 基牙"
abysmal,ә'bizmәl,"a. 深不可測的, 無底的"
abysmally,ə'bɪzməlɪ,adv. 極糟地; 可怕地; 完全地; 極端地
abyss,ә'bis,"n. 深淵, 深邃, 地獄"
Abyssinian,.æbi'sinjәn,"a. 阿比西尼亞的\nn. 阿比西尼亞人, 埃塞俄比亞人"
acacia,ә'keiʃә,"n. 洋槐, 刺槐, 阿拉伯樹膠\n[化] 阿拉伯膠; 金合歡膠"
academe,",ækә'di:m","n. 研究院, 學會(=academy),學術界,學院"
academia,.ækә'di:miә,"n. 學術界, 學術生涯"
academic,.ækә'demik,"a. 學院的, 學術的, 不切實際的\nn. 大學生, 大學教師, 學者, 學會會員"
academically,.ækә'demikәli,adv. 學術上；學業上
academician,ә.kædә'miʃәn,"n. 學會會員, 院士, 學究, 大學生, 學者"
academy,ә'kædәmi,"n. 學院, 院校, 學會"
Acadian,ә'keidiәn,"a. 阿卡迪亞的,阿卡迪亞人的"
accede,æk'si:d,"vi. 同意, 正式加入, 就任, 繼任"
accelerant,әk'selәrәnt,"n. 促進劑, 加速進程的東西\na. 促進的, 加速的"
accelerate,әk'selәreit,"v. 加速, 促進"
accelerated,әk'selәreitid,a. 加快的\n[醫] 加速的
accelerating,æk'selәreitiŋ,[計] 加速
acceleration,әk.selә'reiʃәn,"n. 加速, 促進, 加速度\n[化] 加速度"
accelerative,әk'selәrәtiv,"a. 加速的, 促進的"
accelerator,әk'selәreitә,"n. 加速劑, 加速器, 油門\n[化] 加速器; 早強劑; 促進劑; 硫化促進劑"
accelerometer,әk.selә'rɒmitә,n. 加速度計\n[化] 加速度計
accent,'æksәnt,"n. 重音, 口音, 特點, 注重點\nvt. 重讀, 加重音號於, 強調"
accented,ˈæksentɪd,a. 帶…腔調的；帶…口音的
accentual,æk'sentjuәl,"a. 重音的, 根據重音定節奏的"
accentuate,æk'sentjueit,"vt. 以重音念, 強調, 重讀"
accentuated,,加重
accentuation,æk.sentju'eiʃәn,"n. 重讀, 加重音符號, 強調\n[醫] 增強, 亢進"
accept,әk'sept,"vt. 接受, 承認, 同意, 相信, 贊成, 承擔, 承兌, 採納, 接納, 容忍\nvi. 同意"
acceptability,әk.septә'biliti,"n. 可接受, 合意, 可忍受"
acceptable,әk'septәbl,"a. 可接受的, 合意的, 可忍受的"
acceptably,әk'septәbli,"adv. 可欣然接受地, 承受得住地, 能合人意地"
acceptance,әk'septәns,"n. 接受, 接納, 承認, 同意, 贊同, 容忍, 相信\n[經] 承兌, 認付, (工程)驗收"
accepted,әk'septid,"a. 公認的, 一般承認的\n[經] 已承兌, 已認付"
acceptor,әk'septә,"n. 接受者, 承兌人, 接收器\n[化] 接納體; 接受體; 受體; 受主; 被誘物"
access,'ækses,"n. 通路, 入口, 接近, 進入, 使用權, 發作\nvt. 訪問, 存取, 接近, 使用\n[計] 訪問, 存取"
accessibility,әk.sesә'biliti,"n. 易接近, 可進入\n[化] 可及性; 可達性; 可接近性; 吸濕性"
accessible,әk'sesәbl,"a. 易接近的, 可進入的, 可使用的, 易受影響的, 可理解的"
accession,æk'seʃәn,"n. 到達, 即位, 增加, 同意, 發作, 正式接受\nvt. 登記入冊"
accessorize,әk'sesәraiz,"vt. 附加, 補充\nvi. 穿戴裝飾品"
accessory,әk'sesәri,"n. 附件, 零件, 附加物, 從犯, 同謀\na. 附屬的, 補充的, 同謀的, 幫凶的, 非主要的, 副的\n[計] 附件"
accident,'æksidәnt,"n. 意外事件, 機遇, 事故, 次要方面\n[化] 意外事故; 事故"
accidental,.æksi'dentl,"a. 意外的, 偶然的, 非主要的, 附屬的\nn. 臨時記號, 次要方面"
accidentally,.æksi'dentli,"adv. 偶然地, 意外地"
acclaim,ә'kleim,"n. 喝彩, 歡呼, 贊同\nv. 歡呼, 喝彩, 稱讚"
acclaimed,ə'kleɪmd,v. 歡呼（acclaim的過去式及過去分詞）\na. 受到讚揚的
acclamation,.æklә'meiʃәn,"n. 歡呼, 稱讚, 喝彩"
acclimate,ә'klaimit,"vt. 使適應, 使服水土\nvi. 服水土, 適應新環境"
acclimation,.æklai'meiʃәn,"n. 服水土, 順應, 適應環境\n[化] 馴化"
acclimatization,"ә,klaimәtai'zeiʃәn","n. 服水土, 順應, 適應環境\n[化] 馴化; 馴化作用; 適量沉澱"
acclimatize,ә'klaimәtaiz,"vt. 使適應新環境, 使服水土\nvi. 服水土"
acclimatized,ə'klaimətaiz,"vt. 使適應新環境, 使服水土"
accolade,.ækәu'leid,"n. 榮譽, 讚美, 騎士爵位的授予禮, 連譜號"
accommodate,ә'kɒmәdeit,"vt. 使適應, 調和, 通融, 容納, 向...提供\nvi. 適應"
accommodating,ә'kɒmәdeitiŋ,"a. 與人方便的, 肯通融的"
accommodation,ә.kɒmә'deiʃәn,"n. 膳宿, 預訂鋪位, 適應性調節, 調和, 貸款\n[醫] 調節(眼); 適應"
accommodationist,әkɒmә'deiʃәnist,"n. 妥協遷就者\na. 妥協的, 遷就的"
accommodative,ә'kɒmәdeitiv,"a. 予以方便的, 肯通融的\n[醫] 適應的; 調節的"
accompaniment,ә'kʌmpәnimәnt,"n. 伴隨物, 附加物, 伴奏"
accompanist,ә'kʌmpәnist,n. 伴奏者
accompany,ә'kʌmpәni,"vt. 陪伴, 伴隨, 補充, 為...伴奏\nvi. 伴奏, 伴唱"
accompanying,,"a. 隨同的, 附見的"
accomplice,ә'kʌmplis,"n. 共犯, 同謀\n[醫] 協同菌"
accomplish,ә'kʌmpliʃ,"vt. 完成, 達到, 實現, 使完美"
accomplished,ә'kʌmpliʃt,"a. 完成的, 實現的, 有造詣的, 熟練的, 善社交的"
accomplishment,ә'kʌmpliʃmәnt,"n. 成就, 完成"
accord,ә'kɒ:d,"n. 一致, 調和, 協定\nvt. 給與, 使一致\nvi. 相符合"
accordance,ә'kɒ:dәns,"n. 一致, 和諧"
according,ә'kɒ:diŋ,"a. 相符的, 根據...而定的\nadv. 相應地"
accordingly,ә'kɒ:diŋli,"adv. 相應地, 因此, 於是"
accordion,ә'kɒ:djәn,n. 手風琴\na. 可摺疊的
accordionist,ә'kɒ:djәnist,n. 手風琴師
accost,ә'kɒst,"vt. 招呼, 搭訕, 勾引\n[法] 勾引, 引誘"
account,ә'kaunt,"n. 報告, 解釋, 估價, 理由, 利潤, 算賬, 帳目\nvi. 報帳, 解釋, 導致, 報償, 占, 殺死\nvt. 認為\n[計] 帳戶, 帳號"
accountability,ә.kauntә'biliti,"n. 負有責任, 可說明性\n[化] 衡算計量"
accountable,ә'kauntәbl,"a. 負有責任的, 可說明的, 可解釋的\n[經] 負有責任的"
accountancy,ә'kauntәnsi,"n. 會計工作, 會計學\n[經] 會計工作, 會計學術, 會計職業"
accountant,ә'kauntәnt,"n. 會計人員, 會計師\n[經] 會計師, 會計人員"
accounting,ә'kauntiŋ,"n. 會計學, 帳單, 清帳\n[計] 帳戶處理, 記帳"
accouterments,ә'ku:tәmәnts,"n. 軍人的配備, 服裝"
accoutrement,ә'ku:tәmәnt,"n. 裝備, 配備"
accredit,ә'kredit,"vt. 信託, 確認, 歸結於, 委派\n[經] 發行信用證, 信託, 委託"
accreditation,ә.kredi'teiʃәn,"n. 委派, 信託, 鑒定合格\n[法] 立案, 備案, 任命"
accredited,ә'kreditid,v. 認可（accredit的過去分詞形式）
accrediting,,n. 本金增值\nvt. 認可；相信；歸功於（accredit的現在分詞）
accrete,æ'kri:t,"vi. 連生, 合生, 附依\nvt. 使依附, 使連接\na. 合生的"
accretion,æ'kri:ʃәn,"n. 自然增大, 添加, 添加物, 連生\n[化] 停滯堆積"
accrual,ә'kru:әl,"n. 自然增長, 自然增長額\n[經] 應計額, 發生額"
accrue,ә'kru:,"vi. 自然增加, 產生\n[經] 應計, 產生, 出現"
accrued,ә'krud,a. 應計的；增值的；權責已發生的
acculturate,ә'kʌltʃәreit,vi. 適應新的文化習俗\nvt. 使適應新的文化習俗
acculturation,ә.kʌltʃә'reiʃәn,"n. 文化互滲, 文化適應"
acculturative,,文化適應的
accumulate,ә'kju:mjuleit,"v. 積聚, 堆積"
accumulated,,a. 累計的；累積的；達到
accumulating,,[計] 累加
accumulation,ә.kju:mju'leiʃәn,"n. 積聚, 累積, 積聚物\n[醫] 蓄積, 累積"
accumulative,ә'kju:mjulәtiv,"a. 積聚而成的, 累積的\n[經] 累積的, 累計的"
accumulator,ә'kju:mjuleitә,"n. 積聚者, 蓄能器, 蓄電池\n[計] 累加器"
accuracy,'ækjurәsi,"n. 精確, 正確\n[計] 準確度"
accurate,'ækjurәt,"a. 正確的, 精確的\n[經] 準確的, 精確的"
accurately,'ækjurәtli,"adv. 正確地, 精確地"
accursed,ә'kә:sid,"a. 被咒的, 註定完蛋的, 討厭的"
accusation,ækju:'zeiʃәn,"n. 控告, 指控, 指責\n[法] 控告, 起訴, 告發"
accusatory,ә'kju:zәtәri,"a. 控訴的, 指責的\n[法] 控訴的, 起訴的, 告發的"
accuse,ә'kju:z,"vt. 指責, 控告, 歸咎於\nvi. 指責, 控告"
accused,ә'kju:zd,n. 被告
accuser,ә'kju:zә,"n. 控訴者, 指責者\n[法] 原告, 指控人, 控告者"
accusing,ә'kju:ziŋ,"a. 指責的, 非難的"
accusingly,ә'kju:ziŋli,adv. 責難地
accustom,ә'kʌstәm,vt. 使習慣於
accustomed,ә'kʌstәmd,"a. 慣常的, 習慣了的"
ace,eis,"n. 幺點, 好手, 少許, 發球得分\na. 一流的, 傑出的\n[計] 應答允許, 自適應計算機試驗, 自動呼叫設備, 自動執行控制"
acellular,ei'seljulә,"a. 非細胞的,非細胞組成的"
acequia,ә'seikjә,n. (美國西南部的)灌溉水渠
acerbic,ә'sә:bik,"a. 酸的, 尖刻的"
acerbically,,酸地\n尖酸地
acetaldehyde,",æsi'tældәhaid","[化] 乙醛\n[醫] 乙醛, 醋醛"
acetaminophen,",æsi'tæminәfәn","n. 乙酰, 退熱凈, 氨基酚\n[化] 對乙酰氨基酚; 撲熱息痛"
acetate,'æsiteit,n. 醋酸鹽\n[化] 醋酸鹽(或酯、根)
acetic,ә'si:tik,"a. 醋的, 乙酸的\n[醫] 醋酸的, 醋的"
acetone,'æsitәun,n. 丙酮\n[化] 丙酮
acetylcholine,ә.si:til'kәuli:n,n. 乙酰膽鹼\n[化] 乙酰膽鹼
acetylene,ә'setili:n,"n. 乙炔, 電石氣\n[化] 乙炔; 雙亞乙基"
ACH,,[計] 自動化票證交換所\n[醫] 腎上腺皮質激素
Achaemenid,ə'ki:mənid; ə'kem-,n. 阿契美尼德王族成員\na. 阿契美尼德人的；阿契美尼德王族的
ache,eik,"n. 疼痛\nvi. 痛, 哀憐, 渴望"
achievable,ә'tʃi:vәbl,"a. 做得成的, 可完成的, 可有成就的"
achieve,ә'tʃi:v,"vt. 完成, 達到\nvi. 如願以償"
achieved,ә'tʃi:vd,a. 取得的；完成的
achievement,ә'tʃi:vmәnt,"n. 完成, 成就, 功業"
achiever,ә'tʃi:vә,n. 獲得成功的人
aching,'eikiŋ,"a. 疼痛的, 使人痛苦的"
achingly,'ekɪŋli,adv. 極其；痛惜地；非常痛地
achromat,'ækrәmæt,[化] 消色差透鏡\n[醫] 消色差透鏡
achromatic,ækrәu'mætik,"a. 無色的, 不分光的, 消色差的, 非染色質的\n[化] 消色差的"
achy,'eiki,a. 疼痛的
acid,'æsid,"n. 酸, 酸類物質, 尖刻, 迷幻藥\na. 酸的, 酸性的, 尖刻的, 敏銳的\n[計] 自動文檔互參與索引生成程序"
acidic,ә'sidik,"a. 成酸的, 尖刻的, 酸性的\n[機] 酸性"
acidification,ә.sidifi'keiʃәn,"n. 使發酸, 酸化, 成酸性\n[化] 酸化; 加酸"
acidify,ә'sidifai,"vt. 使變酸, 使成酸\nvi. 變酸"
acidity,ә'siditi,n. 酸性\n[化] 酸度; 酸性; 酸性反應
acidly,'æsidli,"adv. 尖刻地, 敏銳地"
acidophilus,ˌæsɪ'dɒfələs,a. 嗜酸的
acidosis,.æsi'dәusis,n. 酸中毒\n[化] 酸中毒
ackee,'æki:,西非荔枝果
acknowledge,әk'nɒlidʒ,"vt. 承認, 告知收悉, 答謝, 報償\n[經] 承認, 答謝, 收到的通知"
acknowledged,әk'nɒlidʒid,a. 公認的
acknowledgement,әk'nɒlidʒmәnt,"n. 承認, 確認, 感謝, 收到的通知\n[計] 確認; 肯定"
acknowledgment,әk'nɔlidʒmәnt,"n. 承認, 答謝, 認可, 謝禮, 收到的通知, 收到的迴音, 謝意\n[計] 肯定, 確認認可"
acme,'ækmi,"n. 頂點, 極度, 最高點\n[醫] 極期"
acne,'ækni,"n. 痤瘡, 粉刺\n[醫] 痤瘡, 粉刺"
acolyte,'ækәulait,"n. 侍僧, 助手"
aconite,'ækәnait,n. 烏頭\n[化] 烏頭
acorn,'eikɒ:n,"n. 橡樹果實\n[機] 漿櫟, 漿櫟果"
acoustic,ә'ku:stik,"a. 聽覺的, 聲學的, 音響的\n[醫] 聽的; 聲學的"
acoustical,ә'ku:stikәl,"a. 聽覺的, 聲學的"
acoustically,ə'kuːstɪkəlɪ,adv. 聽覺上；聲學上
acoustician,.æku:'stiʃәn,n. 聲學家
acquaint,ә'kweint,"vt. 使認識, 介紹"
acquaintance,ә'kweintәns,"n. 認識, 相識者"
acquaintanceship,ә'kweintәnsʃip,"n. 相識, 認識, 交往關係"
acquiesce,.ækwi'es,"vi. 默許, 默然同意"
acquiescence,.ækwi'esәns,"n. 默許, 默認\n[法] 默許, 默認"
acquiescent,.ækwi'eәsnt,"a. 默許的, 默認的, 默從的\n[法] 默許的, 默認的, 勉強順從的"
acquire,ә'kwaiә,"vt. 獲得, 學到\n[電] 目標鎖定"
acquired,ә'kwaiәd,"a. 獲得的, 後天的\n[醫] 獲得的, 後天的"
acquirer,,"[法] 轉得人, 取得人, 受讓人"
acquisition,.ækwi'ziʃәn,"n. 獲得, 獲得物\n[經] 收購, 招攬, 取得"
acquisitive,ә'kwizitiv,"a. 渴望獲得的, 貪婪的\n[法] 取得的, 獲得的, 貪得無厭的"
acquisitiveness,"ə,kwi'zitivnis",n. 佔有慾
acquit,ә'kwit,"vt. 無罪釋放, 表現, 使履行\n[法] 開釋, 釋放, 免"
acquittal,ә'kwitәl,"n. 履行, 無罪開釋\n[經] (債務的)清償"
acreage,'eikәridʒ,"n. 英畝數, 土地面積\n[經] 英畝數, 土地面積, 礦區租賃面積"
acrid,'ækrid,"a. 苦味的, 辛辣的, 譏諷的, 刻薄的\n[醫] 辛辣的"
acrimonious,ækri'mәunjәs,"a. 尖刻的, 譏諷的, 激烈的"
acrimony,'ækrimәni,"n. 嚴厲, 尖刻\n[醫] 辛辣"
acrobat,'ækrәbæt,"n. 表演特技者, 雜技演員"
acrobatic,.ækrәu'bætik,"a. 雜技演員的, 雜技的"
acrobatics,.ækrәu'bætiks,"n. 雜技, 雜技表演"
